categoria,a_lact,b,s_lact,TCI_base,e_leche,k_lact,e_P,e_G,k_P,k_G
primipara,120,0.75,22,18,740,0.70,5.7,9.5,0.50,0.60
multipara,125,0.75,24,18,740,0.70,5.7,9.5,0.50,0.60
