categoria,a_cat,b,s_cat,TCI_base,e_P,e_G,k_P,k_G
machos_enteros_<95,100,0.75,20,20,5.7,9.5,0.50,0.60
machos_enteros_95plus,105,0.75,22,20,5.7,9.5,0.50,0.60
hembras_<95,98,0.75,18,20,5.7,9.5,0.50,0.60
hembras_95plus,102,0.75,20,20,5.7,9.5,0.50,0.60
castrados_<95,104,0.75,21,20,5.7,9.5,0.50,0.60
castrados_95plus,110,0.75,23,20,5.7,9.5,0.50,0.60
