ingrediente,familia
Maíz,Cereales y subproductos
Trigo,Cereales y subproductos
Soja,Oleaginosas y harinas proteicas
DDGS,DDGS/cervecería
Harina de carne,Origen animal
Aceite de girasol,Grasas/aceites
Pulpa de remolacha,Subproductos industriales
...
